Age,qx
0,0.00461
1,0.00027
2,0.00021
3,0.00016
4,0.00013
5,0.00011
6,0.0001
7,0.00009
8,0.00009
9,0.00009
10,0.00009
11,0.0001
12,0.00011
13,0.00013
14,0.00017
15,0.00022
16,0.00029
17,0.00036
18,0.00042
19,0.00047
20,0.00051
21,0.00056
22,0.0006
23,0.00063
24,0.00066
25,0.00069
26,0.00072
27,0.00076
28,0.0008
29,0.00085
30,0.00091
31,0.00097
32,0.00102
33,0.00107
34,0.00112
35,0.00116
36,0.0012
37,0.00125
38,0.0013
39,0.00136
40,0.00142
41,0.00149
42,0.00157
43,0.00166
44,0.00176
45,0.00187
46,0.00199
47,0.00213
48,0.00228
49,0.00245
50,0.00264
51,0.00284
52,0.00307
53,0.00332
54,0.00359
55,0.00389
56,0.00422
57,0.00459
58,0.00498
59,0.00542
60,0.0059
61,0.00644
62,0.00702
63,0.00767
64,0.00839
65,0.00919
66,0.01007
67,0.01104
68,0.01213
69,0.01333
70,0.01467
71,0.01616
72,0.01782
73,0.01967
74,0.02174
75,0.02405
76,0.02663
77,0.02951
78,0.03275
79,0.03638
80,0.04045
81,0.04503
82,0.05017
83,0.05596
84,0.06249
85,0.06985
86,0.07816
87,0.08754
88,0.09816
89,0.11017
90,0.12379
91,0.13885
92,0.15504
93,0.17234
94,0.19072
95,0.21188
96,0.23216
97,0.2533
98,0.27515
99,0.29752
100,0.32023
101,0.34306
102,0.3658
103,0.38824
104,0.41017
105,0.43143
106,0.45185
107,0.47129
108,0.48967
109,0.5069
110,1.0
